Modèle,Stratégie,Recall_mean,Recall_std,Precision_mean,Precision_std,F1_mean,F1_std,PR_AUC_mean,PR_AUC_std
LogisticRegression,Baseline (class_weight),0.5229508196721312,0.048464739341293396,0.18855865220480877,0.011080869118275717,0.27690695773503393,0.016787381352404106,0.23769307148246713,0.03257442396538202
LogisticRegression,SMOTE,0.560655737704918,0.04907091654785499,0.18069837451143106,0.007870724424654802,0.2731476930542821,0.014502904589851161,0.2359583732686092,0.03090354032121619
LogisticRegression,Undersampling,0.5721311475409836,0.0360655737704918,0.1654462177702314,0.01786103224662738,0.25634518681855073,0.02386680157298621,0.2339703112171853,0.03770556129202841
DecisionTree,Baseline (class_weight),0.1819672131147541,0.006133864568481866,0.18078603635730467,0.011697075890774247,0.18121465697661812,0.007623983280544535,0.10068823403492495,0.002455544903222322
DecisionTree,SMOTE,0.24590163934426226,0.033994166152996254,0.18331489975560017,0.00947749280481523,0.20946676034606368,0.017986715084217682,0.10779488823899744,0.005560059085817771
DecisionTree,Undersampling,0.6327868852459017,0.04734271828915952,0.14002427603631135,0.013145222317270151,0.2292823444541967,0.020675647632819177,0.1196306801666435,0.01157085195507955
XGBoost,Baseline (class_weight),0.2573770491803279,0.025712110067800196,0.2474442956932302,0.018233619439877228,0.2519172927686105,0.0203140119971303,0.23221976905030148,0.018847690563763408
XGBoost,SMOTE,0.3737704918032787,0.02673689578737721,0.19362417840866955,0.013637138182640292,0.25494329957762335,0.01674814910308372,0.22757080410199068,0.012148567246672043
XGBoost,Undersampling,0.8081967213114755,0.03343619353175596,0.13731354734917836,0.00687504873131535,0.23469203986235548,0.010969825227174903,0.24744955696556045,0.01809551097497358
MLP,Baseline (class_weight),0.04754098360655738,0.0534737915747544,0.23231334149326804,0.20119681340778156,0.07263708513708514,0.07892505098780578,0.21651857148480108,0.03800419874179422
MLP,SMOTE,0.30491803278688523,0.05711885701699785,0.17995324975010424,0.02496278863283178,0.22587562213683388,0.034605596454058515,0.17905738062341547,0.02185970229529238
MLP,Undersampling,0.5327868852459017,0.0494527971442569,0.17140528708498376,0.028041355179946867,0.2580331045028761,0.03444938001141679,0.2182116785011111,0.034556725571415564
